CC Codes,Description of CC,Category
D0,Changes to service dates (When  only changing the admission date Use condition code D9.),Medicare Condition Codes UB04
D1,Use when changes to charges,Medicare Condition Codes UB04
D2,"Use when changes to revenue codes, HCPCs / HIPPS rate code",Medicare Condition Codes UB04
D3,Use when second or subsequent interim PPS bill,Medicare Condition Codes UB04
D4,Use when changes in diagnosis or procedure code,Medicare Condition Codes UB04
D5,Use when cancel to correct Medicare Beneficiary ID number or provider ID,Medicare Condition Codes UB04
D6,Use when cancel only to repay a duplicate or OIG overpayment,Medicare Condition Codes UB04
D7,Use change to make Medicare the secondary payer,Medicare Condition Codes UB04
D8,Use when change to make Medicare the primary payer,Medicare Condition Codes UB04
D9,Use for any other change,Medicare Condition Codes UB04
E0,Use when change in patient status,Medicare Condition Codes UB04
15,Clean claim delayed in CMS’ processing system. ,Assigned by Payer UB 04 Condition Codes
16,Skilled Nursing Facility-SNF transition exemption . An exemption from the post-hospital requirement applies for this SNF stay or the qualifying stay dates are more than 30 days prior to the admission date.,Assigned by Payer UB 04 Condition Codes
60,Operating cost day outlier. ,Assigned by Payer UB 04 Condition Codes
61,Operating cost outlier which is not reported by provider. Pricer indicates this bill is a cost outlier and MAC indicates the operating cost outlier portion paid in value code 17.,Assigned by Payer UB 04 Condition Codes
62,PIP bill not reported by providers. Bill was paid under PIP and recorded by system.,Assigned by Payer UB 04 Condition Codes
63,Bypass CWF edit for incarcerated beneficiaries. Services rendered to a prisoner or a patient in State or local custody (meets requirements of 42 CFR 411.4(b) for payment). Contractor use only.,Assigned by Payer UB 04 Condition Codes
64,Other than clean claim.,Assigned by Payer UB 04 Condition Codes
65,Non-PPS bill not reported by providers. MAC records this from system for non-PPS hospital bills.,Assigned by Payer UB 04 Condition Codes
EY,"Lung reduction study demonstration claims, set demo code 30.",Assigned by Payer UB 04 Condition Codes
M0,All-inclusive rate for outpatient services.,Assigned by Payer UB 04 Condition Codes
M1,Roster billed influenza virus vaccine or pneumococcal pneumonia vaccine (PPV).,Assigned by Payer UB 04 Condition Codes
