Revenue Codes 2025,Revenue Code Description,Type Of Care
240,"All inclusive ancillary, general",Intravenous (IV) Therapy
260,Intravenous (IV) therapy,Intravenous (IV) Therapy
261,"Intravenous (IV) therapy, infusion pump",Intravenous (IV) Therapy
262,"Intravenous (IV) therapy, pharmacy services",Intravenous (IV) Therapy
263,"Intravenous (IV) therapeutic drug, supply and delivery",Intravenous (IV) Therapy
264,"Intravenous (IV) therapy, supplies",Intravenous (IV) Therapy
269,"Intravenous (IV) therapy,",Intravenous (IV) Therapy
274,"Medical/surgical supplies and devices,prosthetic and orthotic","Medical/Surgical Supplies, Prosthetic and Orthotic"
280,Oncology,Oncology
290,"Durable medical equipment, general",Durable Medical Equipment (DME)
291,"Durable medical equipment, rental",Durable Medical Equipment (DME)
292,"Durable medical equipment, purchase of new",Durable Medical Equipment (DME)
294,"Durable medical equipment, supplies and drugs",Durable Medical Equipment (DME)
299,"Durable medical equipment,",Durable Medical Equipment (DME)
300,"Laboratory, general classification",Laboratory Services
301,"Laboratory, chemistry",Laboratory Services
302,"Laboratory, immunology",Laboratory Services
303,"Laboratory, renal patient",Laboratory Services
304,"Laboratory, dialysis",Laboratory Services
305,"Laboratory, hematology",Laboratory Services
306,"Laboratory, bacteriology and microbiology",Laboratory Services
307,"Laboratory, urology",Laboratory Services
308,Reserved laboratory,Laboratory Services
309,"Laboratory,",Laboratory Services
310,"Laboratory, pathology general classification",Laboratory Services
311,Laboratory pathology cytology,Laboratory Services
312,Laboratory pathology histology,Laboratory Services
313,Reserved laboratory pathology,Laboratory Services
314,"Laboratory, pathology biopsy",Laboratory Services
315,"Reserved laboratory, pathology",Laboratory Services
316,"Reserved laboratory, pathology",Laboratory Services
317,"Reserved laboratory, pathology",Laboratory Services
318,"Reserved laboratory, pathology",Laboratory Services
319,"Laboratory, pathology",Laboratory Services
320,"Radiology, diagnostic general classification",Diagnostic Radiology
321,"Radiology, diagnostic angiocardiology",Diagnostic Radiology
322,"Radiology, diagnostic arthrography",Diagnostic Radiology
323,"Radiology, diagnostic arteriography",Diagnostic Radiology
324,"Radiology, diagnostic chest X-ray",Diagnostic Radiology
325,"Reserved radiology, diagnostic",Diagnostic Radiology
326,"Reserved radiology, diagnostic",Diagnostic Radiology
327,"Reserved radiology, diagnostic",Diagnostic Radiology
328,"Reserved radiology, diagnostic",Diagnostic Radiology
329,"Radiology, diagnostic",Diagnostic Radiology
330,"Radiology, therapeutic chemapy general classification",Therapeutic Radiology / Chemotherapy
331,"Radiology, therapeutic chemapy, chemapy administration – injected",Therapeutic Radiology / Chemotherapy
332,"Radiology, therapeutic chemapy, chemapy and administration – oral",Therapeutic Radiology / Chemotherapy
333,"Radiology, therapeutic chemapy, radiation therapy",Therapeutic Radiology / Chemotherapy
334,"Reserved radiology, therapeutic chemapy",Therapeutic Radiology / Chemotherapy
335,"Radiology, therapeutic chemapy, administration (intravenous (IV))",Therapeutic Radiology / Chemotherapy
336,"Reserved radiology, therapeutic chemapy",Therapeutic Radiology / Chemotherapy
337,"Reserved radiology, therapeutic chemapy",Therapeutic Radiology / Chemotherapy
338,"Reserved radiology, therapeutic chemapy",Therapeutic Radiology / Chemotherapy
339,"Radiology, therapeutic chemapy",Therapeutic Radiology / Chemotherapy
340,"Nuclear medicine, general classification",Nuclear Medicine
341,"Nuclear medicine, diagnostic",Nuclear Medicine
342,"Nuclear medicine, therapeutic",Nuclear Medicine
343,"Nuclear medicine, diagnostic radiopharmaceuticals",Nuclear Medicine
344,"Nuclear medicine, therapeutic radiopharmaceuticals",Nuclear Medicine
349,"Nuclear medicine,",Nuclear Medicine
350,"Computerized axial tomography (CAT) scan, general",CT / CAT Scan
351,"Computerized axial tomography (CAT) scan, head scan",CT / CAT Scan
352,"Computerized axial tomography (CAT) scan, body scan",CT / CAT Scan
353,Reserved computerized axial tomography scan (CAT),CT / CAT Scan
354,Reserved computerized axial tomography scan (CAT),CT / CAT Scan
355,Reserved computerized axial tomography scan (CAT),CT / CAT Scan
356,Reserved computerized axial tomography scan (CAT),CT / CAT Scan
357,Reserved computerized axial tomography scan (CAT),CT / CAT Scan
358,Reserved computerized axial tomography scan (CAT),CT / CAT Scan
359,Computerized axial tomography scan (CAT),CT / CAT Scan
360,"Operating room services, general",Operating Room Services
361,"Operating room services, minor surgery",Operating Room Services
362,"Operating services, organ transplant than kidney",Operating Room Services
363,Reserved operating room services,Operating Room Services
364,Reserved operating room services,Operating Room Services
365,Reserved operating room services,Operating Room Services
366,Reserved operating room services,Operating Room Services
367,"Operating room services, kidney transplant",Operating Room Services
368,Reserved operating room services,Operating Room Services
369,Operating room services,Operating Room Services
380,"Blood and blood products, general",Blood and Blood Products
381,"Blood and blood products, packed red cells",Blood and Blood Products
382,"Blood and blood products, whole blood products",Blood and Blood Products
383,"Blood and blood products, plasma",Blood and Blood Products
384,"Blood and blood products, platelets",Blood and Blood Products
385,"Blood and blood products, leukocytes",Blood and Blood Products
386,"Blood and blood products, components",Blood and Blood Products
387,"Blood and blood products, derivatives (cryoprecipitate)",Blood and Blood Products
388,"Blood and blood products, reserved components",Blood and Blood Products
389,"Blood and blood products,",Blood and Blood Products
390,"Blood administration process, storage general",Blood Administration / Storage
391,"Blood administration process, storage administration",Blood Administration / Storage
399,"Blood, storage",Blood Administration / Storage
400,"Imaging services, general",Imaging Services
401,"Imaging services, diagnostic mammography",Imaging Services
402,"Imaging services, ultrasound",Imaging Services
403,"Imaging services, screening mammography",Imaging Services
404,"Imaging services, positron emission tomography",Imaging Services
405,Reserved imaging services,Imaging Services
406,Reserved imaging services,Imaging Services
407,Reserved imaging services,Imaging Services
408,Reserved imaging services,Imaging Services
409,"Imaging services,",Imaging Services
410,"Respiratory services, general",Respiratory Services
411,Reserved respiratory services,Respiratory Services
412,"Respiratory services, inhalation",Respiratory Services
413,"Respiratory services, hyperbaric oxygen therapy",Respiratory Services
414,Reserved respiratory services,Respiratory Services
415,Reserved respiratory services,Respiratory Services
416,Reserved respiratory services,Respiratory Services
417,Reserved respiratory services,Respiratory Services
418,Reserved respiratory services,Respiratory Services
419,"Respiratory services,",Respiratory Services
420,"Physical therapy, general",Physical Therapy
421,"Physical therapy, visit",Physical Therapy
422,"Physical therapy, hourly",Physical Therapy
423,"Physical therapy, group",Physical Therapy
424,"Physical therapy, evaluation or reevaluation",Physical Therapy
425,Reserved physical therapy,Physical Therapy
426,Reserved physical therapy,Physical Therapy
427,Reserved physical therapy,Physical Therapy
428,Reserved physical therapy,Physical Therapy
429,"Physical therapy,",Physical Therapy
430,"Occupational therapy, general",Occupational Therapy
431,"Occupational therapy, visit",Occupational Therapy
432,"Occupational therapy, hourly",Occupational Therapy
433,"Occupational therapy, group",Occupational Therapy
434,"Occupational therapy, evaluation or reevaluation",Occupational Therapy
435,Reserved occupational therapy,Occupational Therapy
436,Reserved occupational therapy,Occupational Therapy
437,Reserved occupational therapy,Occupational Therapy
438,Reserved occupational therapy,Occupational Therapy
439,"Occupational therapy,",Occupational Therapy
440,"Speech therapy, general",Speech Therapy
441,"Speech therapy, visit",Speech Therapy
442,"Speech therapy, hourly",Speech Therapy
443,"Speech therapy, group",Speech Therapy
444,"Speech therapy, evaluation or reevaluation",Speech Therapy
445,Reserved speech therapy,Speech Therapy
446,Reserved speech therapy,Speech Therapy
447,Reserved speech therapy,Speech Therapy
448,Reserved speech therapy,Speech Therapy
449,"Speech therapy,",Speech Therapy
450,"Emergency room, general",Emergency Room
451,"Emergency room, EMTALA emergency and medical",Emergency Room
452,"Emergency room, beyond EMTALA screening",Emergency Room
453,Reserved emergency room,Emergency Room
454,Reserved emergency room,Emergency Room
455,Reserved emergency room,Emergency Room
456,"Emergency room, urgent care",Emergency Room
457,Reserved emergency room,Emergency Room
458,Reserved emergency room,Emergency Room
459,"Emergency room,",Emergency Room
460,"Pulmonary function, general",Pulmonary Function
461,Reserved pulmonary function,Pulmonary Function
462,Reserved pulmonary function,Pulmonary Function
463,Reserved pulmonary function,Pulmonary Function
464,Reserved pulmonary function,Pulmonary Function
465,Reserved pulmonary function,Pulmonary Function
466,Reserved pulmonary function,Pulmonary Function
467,Reserved pulmonary function,Pulmonary Function
468,Reserved pulmonary function,Pulmonary Function
469,"Pulmonary function,",Pulmonary Function
470,"Audiology, general",Audiology
471,"Audiology, diagnostic",Audiology
472,"Audiology, treatment",Audiology
473,Reserved audiology,Audiology
474,Reserved audiology,Audiology
475,Reserved audiology,Audiology
476,Reserved audiology,Audiology
477,Reserved audiology,Audiology
478,Reserved audiology,Audiology
479,"Audiology,",Audiology
480,"Cardiology, general",Cardiology
481,"Cardiology, cardiac catheterization laboratory",Cardiology
482,"Cardiology, stress test",Cardiology
483,"Cardiology, echocardiology",Cardiology
484,Reserved cardiology,Cardiology
485,Reserved cardiology,Cardiology
486,Reserved cardiology,Cardiology
487,Reserved cardiology,Cardiology
488,Reserved cardiology,Cardiology
489,"Cardiology,",Cardiology
490,Ambulatory surgery,Ambulatory Surgery
499,Ambulatory surgery,Ambulatory Surgery
500,Outpatient services,Outpatient Services
510,Clinic,Clinic Services
511,"Clinic, chronic pain center",Clinic Services
512,"Clinic, dental",Clinic Services
513,"Clinic, psychiatric",Clinic Services
514,"Clinic, obstetrics/gynecology (OB/GYN)",Clinic Services
515,"Clinic, pediatric",Clinic Services
516,"Clinic, urgent care",Clinic Services
517,"Clinic, family practice",Clinic Services
518,Reserved clinic,Clinic Services
519,Clinic,Clinic Services
521,Rural clinic,Rural clinic
526,Urgent care clinic,Urgent care clinic
530,"Osteopathic services, general",Osteopathic Services
531,"Osteopathic services, therapy",Osteopathic Services
532,Reserved osteopathic services,Osteopathic Services
533,Reserved osteopathic services,Osteopathic Services
534,Reserved osteopathic services,Osteopathic Services
535,Reserved osteopathic services,Osteopathic Services
536,Reserved osteopathic services,Osteopathic Services
537,Reserved osteopathic services,Osteopathic Services
538,Reserved osteopathic services,Osteopathic Services
539,"Osteopathic services,",Osteopathic Services
540,"Ambulance, general",Ambulance
541,"Ambulance, supplies",Ambulance
542,"Ambulance, medical transport",Ambulance
543,"Ambulance, heart mobile",Ambulance
544,"Ambulance, oxygen",Ambulance
545,"Ambulance, air",Ambulance
546,"Ambulance, neonatal services",Ambulance
547,"Ambulance, pharmacy",Ambulance
548,"Ambulance, electrocardiogram (EKG) transmission",Ambulance
549,Ambulance,Ambulance
550,Skilled nursing,Skilled Nursing
551,"Skilled nursing, visit",Skilled Nursing
561,"Home health medical, social services, general",Home Health Medical Social Services
571,Aide/home health visit,Aide / Home Health Visit
601,"Home health, oxygen, general",Home Health Oxygen
610,"Magnetic resonance technology, general",MRI Services
611,"Magnetic resonance technology, brain/brain stem",MRI Services
612,"Magnetic resonance technology, spinal cord/spine",MRI Services
613,Magnetic resonance technology reserved,MRI Services
614,"Magnetic resonance technology, magnetic resonance imaging (MRI)",MRI Services
615,"Magnetic resonance technology, head and neck",MRI Services
616,"Magnetic resonance technology, lower extremities",MRI Services
617,Magnetic resonance technology reserved,MRI Services
618,"Magnetic resonance technology,",MRI Services
619,"Magnetic resonance technology,",MRI Services
621,"Medical surgical supplies incidentals, radiology",Medical/Surgical Supplies and FDA Devices
622,Medical surgical supplies incidental to diagnostic services,Medical/Surgical Supplies and FDA Devices
624,U.S. Food and Drug Administration (FDA) investigational devices,Medical/Surgical Supplies and FDA Devices
631,"Drug, single",Pharmacy / Drugs
632,"Drug, multi",Pharmacy / Drugs
634,"Pharmacy, extension of 025X erythropoietin (EPO) less than 10,000 units",Pharmacy / Drugs
635,"Pharmacy extension of 025X erythropoietin (EPO) 10,000 or more units",Pharmacy / Drugs
636,Pharmacy 025x extension drugs requiring detailed coding,Pharmacy / Drugs
650,Hospice,Hospice Care
651,"Hospice, routine home care",Hospice Care
652,"Hospice, continuous home care",Hospice Care
656,"Hospice, general inpatient care (non-respite)",Hospice Care
722,"Labor room delivery, delivery room",Labor Room / Delivery
723,"Labor room delivery, circumcision",Labor Room / Delivery
724,Labor room delivery birthing center,Labor Room / Delivery
729,"Labor room delivery,",Labor Room / Delivery
730,"Electrocardiogram (EKG), electroencephalogram (EEG)",EKG / EEG
731,"Electrocardiogram (EKG), electroencephalogram (EEG), Holter monitor",EKG / EEG
732,Telemetry,EKG / EEG
739,"Electrocardiogram (EKG), electroencephalogram (EEG),",EKG / EEG
740,"Electroencephalogram (EEG), general",EEG Services
741,Reserved electroencephalogram (EEG),EEG Services
742,Reserved electroencephalogram (EEG),EEG Services
743,Reserved electroencephalogram (EEG),EEG Services
744,Reserved electroencephalogram (EEG),EEG Services
745,Reserved electroencephalogram (EEG),EEG Services
746,Reserved electroencephalogram (EEG),EEG Services
747,Reserved electroencephalogram (EEG),EEG Services
748,Reserved electroencephalogram (EEG),EEG Services
749,Reserved electroencephalogram (EEG),EEG Services
750,Gastrointestinal (GI) services general,Gastrointestinal (GI) Services
751,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
752,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
753,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
754,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
